Destination,State/Region,Category,Best Season to Visit,Popular Activities,Average Budget,Visitor Ratings,Number of Reviews,State,Rating,Budget_Level,Preferred_Activity,Season_Preference,User_Age_Group,Preferred_Travel_Type
Manali,,Religious,,,,,,Himachal Pradesh,4.724808704586178,Medium,Trekking,Winter,50+,Family
Jim Corbett,,Hill Station,,,,,,Himachal Pradesh,4.708535385315061,Medium,Rafting,Summer,26-35,Luxury
Delhi,,Historical,,,,,,Uttar Pradesh,3.044603409797287,Low,Shopping,Any,26-35,Solo
Varanasi,,Historical,,,,,,Maharashtra,4.219010244898862,Low,Snowboarding,Summer,18-25,Family
Shimla,,Adventure,,,,,,Maharashtra,3.735664448641913,Low,Food Tour,Any,50+,Friends
Ajanta Caves,,Religious,,,,,,West Bengal,3.8313220030008983,Medium,Safari,Monsoon,18-25,Solo
Prayagraj,,Wildlife,,,,,,Rajasthan,4.664081478437552,High,Beach Activities,Summer,26-35,Family
Chennai,,Historical,,,,,,Rajasthan,3.6196795430553568,High,Safari,Summer,36-50,Luxury
Chennai,,Hill Station,,,,,,Gujarat,4.8860976212752405,Low,Beach Activities,Winter,18-25,Friends
Mumbai,,Hill Station,,,,,,Rajasthan,3.3592676527442817,Low,Palace Tour,Any,26-35,Friends
Ooty,,Hill Station,,,,,,Goa,4.325444846736356,High,Photography,Monsoon,36-50,Family
Shimla,,Heritage,,,,,,Punjab,4.344210134027529,Low,Cultural Tour,Summer,36-50,Friends
Leh,,Heritage,,,,,,Jammu & Kashmir,3.504390322855836,High,Palace Tour,Any,50+,Solo
Haridwar,,Luxury,,,,,,Madhya Pradesh,3.6495012179344037,High,Boating,Monsoon,50+,Family
Kedarnath,,Hill Station,,,,,,Karnataka,4.669596985159881,High,Trekking,Summer,26-35,Solo
Kerala,,Historical,,,,,,Madhya Pradesh,4.523610509909905,High,Snowboarding,Any,18-25,Friends
Rishikesh,,Wildlife,,,,,,Karnataka,3.658191760629519,Medium,Photography,Winter,36-50,Friends
Andaman,,Beach,,,,,,Karnataka,4.067913093869867,High,Food Tour,Summer,50+,Friends
Shimla,,Wildlife,,,,,,West Bengal,3.1233605925061907,Low,Hiking,Any,50+,Solo
Leh,,Heritage,,,,,,Uttarakhand,3.4174917647972585,Low,Snowboarding,Monsoon,18-25,Friends
Mysore,,Religious,,,,,,Maharashtra,3.9716411177207984,Low,Safari,Monsoon,50+,Family
Mussoorie,,Historical,,,,,,Uttarakhand,3.171947470558423,Low,Beach Activities,Winter,26-35,Luxury
Coorg,,Luxury,,,,,,Goa,4.686664709783875,Medium,Palace Tour,Summer,18-25,Family
Hyderabad,,Heritage,,,,,,Uttarakhand,4.436012420215295,High,Snowboarding,Winter,36-50,Luxury
Darjeeling,,Beach,,,,,,Rajasthan,4.887267341296989,High,Palace Tour,Any,26-35,Friends
Delhi,,Adventure,,,,,,Tamil Nadu,4.3869338119280545,Low,Cultural Tour,Monsoon,36-50,Family
Goa,,Luxury,,,,,,West Bengal,4.880802744524371,Low,Cultural Tour,Winter,36-50,Solo
Manali,,Heritage,,,,,,Tamil Nadu,4.10902511138193,Low,Shopping,Summer,50+,Luxury
Andaman,,Wildlife,,,,,,Himachal Pradesh,4.200437222123939,High,Beach Activities,Any,26-35,Solo
Jim Corbett,,Luxury,,,,,,Tamil Nadu,4.953942109252521,Medium,Boating,Summer,26-35,Luxury
Delhi,,Historical,,,,,,Jammu & Kashmir,4.284258293728521,Medium,Snowboarding,Winter,18-25,Friends
Pune,,Wildlife,,,,,,Gujarat,3.061573137721493,Medium,Food Tour,Monsoon,26-35,Family
Manali,,Hill Station,,,,,,Maharashtra,4.447605553261047,Medium,Palace Tour,Monsoon,18-25,Luxury
Mumbai,,Hill Station,,,,,,Goa,4.8109373842748315,Low,Palace Tour,Winter,26-35,Family
Pune,,Hill Station,,,,,,Karnataka,4.5911604995886535,High,Cultural Tour,Summer,36-50,Luxury
Goa,,Luxury,,,,,,Maharashtra,4.167666545250845,Low,Trekking,Summer,18-25,Luxury
Shimla,,Adventure,,,,,,Jammu & Kashmir,4.342607026187032,Medium,Beach Activities,Summer,26-35,Friends
Pune,,Beach,,,,,,Maharashtra,4.980383578503344,Low,Palace Tour,Summer,18-25,Luxury
Sikkim,,Historical,,,,,,Tamil Nadu,3.1813241770186766,Medium,Cultural Tour,Monsoon,50+,Solo
Agra,,Luxur,,,,,,Punjab,4.334489657266479,High,Hikin,Summer,50+,Luxury
Rishikesh,,Religious,,,,,,Maharashtra,3.5667953891411877,Medium,Cultural Tour,Winter,18-25,Luxury
Kerala,,Historical,,,,,,Himachal Pradesh,4.28018079317234,Low,Rafting,Winter,18-25,Luxury
Pune,,Wildlife,,,,,,West Bengal,4.215247151767878,High,Shopping,Winter,36-50,Friends
Jaipur,,Wildlife,,,,,,West Bengal,3.3069136642163244,Medium,Palace Tour,Winter,26-35,Family
Udaipur,,Luxury,,,,,,Uttarakhand,3.4134932914804783,Medium,Rafting,Summer,50+,Family
Udaipur,,Luxury,,,,,,Uttar Pradesh,4.2432591560864275,High,Food Tour,Monsoon,50+,Friends
Kolkata,,Beach,,,,,,Tamil Nadu,3.2564598946075485,Low,Food Tour,Any,26-35,Solo
Chennai,,Adventure,,,,,,Rajasthan,3.5303617502606457,High,Cultural Tour,Summer,50+,Solo
Shimla,,Luxury,,,,,,Jammu & Kashmir,4.670491095476005,Low,Shopping,Any,50+,Friends
Jim Corbett,,Hill Station,,,,,,Goa,3.654183012003277,Medium,Trekking,Monsoon,18-25,Family
Ooty,,Beach,,,,,,Gujarat,3.976120312539326,Medium,Shopping,Summer,50+,Solo
Coorg,,Religious,,,,,,Tamil Nadu,4.882280670291681,High,Trekking,Any,50+,Friends
Prayagraj,,Hill Station,,,,,,Karnataka,3.4542981776738926,Medium,Photography,Monsoon,50+,Family
Agra,,Religious,,,,,,Madhya Pradesh,3.779252034716021,High,Raftin,Any,26-35,Solo
Rishikesh,,Heritage,,,,,,West Bengal,4.212915551087091,Medium,Cultural Tour,Winter,36-50,Solo
Ajanta Caves,,Religious,,,,,,Madhya Pradesh,4.510677859007944,Medium,Rafting,Winter,18-25,Friends
Pune,,Hill Station,,,,,,Uttarakhand,4.80330677342541,Low,Hiking,Monsoon,36-50,Family
Ooty,,Heritage,,,,,,Gujarat,4.8309459751470305,High,Hiking,Monsoon,50+,Solo
Mysore,,Hill Station,,,,,,Karnataka,4.553280148745246,High,Beach Activities,Any,50+,Friends
Ajanta Caves,,Wildlife,,,,,,Gujarat,3.4566616731866207,Medium,Rafting,Monsoon,50+,Solo
Ooty,,Hill Station,,,,,,Maharashtra,3.0496186600851316,Low,Photography,Winter,36-50,Family
Agra,,Heritag,,,,,,Rajasthan,3.7675478607112476,Low,Boating,Winter,26-35,Luxury
Rann of Kutch,,Religious,,,,,,Rajasthan,3.2830977019756467,High,Palace Tour,Summer,26-35,Solo
Hyderabad,,Wildlife,,,,,,Uttar Pradesh,4.420775294876596,High,Food Tour,Any,18-25,Family
Mysore,,Adventure,,,,,,Punjab,4.322261173651434,Medium,Photography,Monsoon,36-50,Solo
Kolkata,,Adventure,,,,,,Gujarat,3.0879432832429097,High,Temple Visit,Monsoon,26-35,Luxury
,,Historical,,,,,,Uttar Pradesh,4.673187558261902,Medium,Cultural Tour,Monsoon,18-25,Luxury
Gwalior,,Adventure,,,,,,Madhya Pradesh,3.4974865325823643,Low,Shopping,Any,50+,Solo
Prayagraj,,Adventure,,,,,,Maharashtra,3.8644541509820844,High,Trekking,Winter,50+,Friends
Kedarnath,,Beach,,,,,,Gujarat,4.335867470911484,Low,Hiking,Monsoon,18-25,Solo
Darjeeling,,Adventure,,,,,,Tamil Nadu,3.8588375737045064,Low,Hiking,Monsoon,26-35,Family
Chennai,,Heritage,,,,,,Himachal Pradesh,3.882575605599887,Medium,Snowboarding,Winter,36-50,Friends
Jaipur,,Luxury,,,,,,Jammu & Kashmir,3.1312559906714807,Low,Palace Tour,Monsoon,18-25,Family
Haridwar,,Adventure,,,,,,Rajasthan,3.8028870985200074,Medium,Temple Visit,Summer,26-35,Family
Chennai,,Hill Station,,,,,,Goa,4.529695786439967,Medium,,Winter,18-25,Friends
Mussoorie,,Luxury,,,,,,Tamil Nadu,4.830352674373195,Low,Photography,Winter,26-35,Luxury
Agra,,Adventure,,,,,,Goa,3.8269942741267435,Low,Boating,Winter,50+,Family
Rann of Kutch,,Luxury,,,,,,Madhya Pradesh,3.8471716537581577,Medium,Snowboarding,Summer,18-25,Solo
Rishikesh,,Religious,,,,,,Uttarakhand,4.405254212647304,Medium,Photography,Winter,36-50,Luxury
Mussoorie,,Heritage,,,,,,Goa,4.885544002210553,Low,Trekking,Any,18-25,Luxury
Sikkim,,Heritage,,,,,,Madhya Pradesh,3.5341218804787204,Medium,Shopping,Any,50+,Friends
Coorg,,Historical,,,,,,Rajasthan,3.8802884130758737,Medium,Boating,Any,50+,Solo
Ajanta Caves,,Luxury,,,,,,Karnataka,4.591946487104602,High,Trekking,Winter,26-35,Solo
Kerala,,Historical,,,,,,Rajasthan,4.219387138748077,High,Trekking,Winter,50+,Luxury
Chennai,,Wildlife,,,,,,Rajasthan,3.2211726879279095,High,Cultural Tour,Winter,26-35,Family
Sikkim,,Beach,,,,,,Tamil Nadu,4.255465471124531,High,Snowboarding,Summer,50+,Family
Mysore,,Hill Station,,,,,,Karnataka,3.373492569194654,High,Shopping,Any,26-35,Solo
Leh,,Luxury,,,,,,Karnataka,4.020431868156808,Medium,Hiking,Monsoon,36-50,Luxury
Prayagraj,,Heritage,,,,,,Tamil Nadu,4.058206535320877,Medium,Beach Activities,Monsoon,26-35,Luxury
Kolkata,,Historical,,,,,,Karnataka,4.75240672444997,High,Rafting,Winter,26-35,Luxury
Hyderabad,,Religious,,,,,,Jammu & Kashmir,3.924988548024876,Low,Hiking,Summer,36-50,Friends
Hyderabad,,Adventure,,,,,,Madhya Pradesh,3.5588848444717884,High,Photography,Winter,26-35,Solo
Goa,,Heritage,,,,,,West Bengal,3.461932696432063,Low,Shopping,Monsoon,26-35,Solo
Bangalore,,Religious,,,,,,Punjab,4.748503753368672,Medium,Rafting,Any,36-50,Family
Mysore,,Adventure,,,,,,Madhya Pradesh,3.342021708836457,Low,Palace Tour,Monsoon,50+,Family
Darjeeling,,Beach,,,,,,Maharashtra,3.8517371217662877,Medium,Trekking,Any,18-25,Solo
Kedarnath,,Heritage,,,,,,Maharashtra,3.374346229853894,Low,Shopping,Any,26-35,Solo
Shimla,,Historical,,,,,,Uttarakhand,4.546608080228751,Medium,Palace Tour,Summer,50+,Family
Haridwar,,Heritage,,,,,,Uttar Pradesh,3.9487452799492377,Medium,Snowboarding,Monsoon,18-25,Solo
Rishikesh,,Luxury,,,,,,Jammu & Kashmir,3.7022873811136243,High,Trekking,Winter,36-50,Family
Kerala,,Luxury,,,,,,West Bengal,3.7221992812529336,Medium,Trekking,Summer,26-35,Solo
Mount Abu,,Religious,,,,,,Himachal Pradesh,4.704428413445958,High,Temple Visit,Any,26-35,Friends
Darjeeling,,Historical,,,,,,Uttarakhand,4.107547908588876,High,Food Tour,Monsoon,36-50,Friends
Rann of Kutch,,Wildlife,,,,,,Gujarat,4.4357357022625274,High,Rafting,Winter,26-35,Luxury
Andaman,,Luxury,,,,,,Tamil Nadu,4.794077032501369,Low,Snowboarding,Summer,18-25,Solo
Jaisalmer,,Hill Station,,,,,,Gujarat,4.803483352081284,Low,Boating,Winter,18-25,Family
Manali,,Beac,,,,,,West Bengal,3.657018108675726,Medium,Boating,Monsoon,36-50,Solo
Agra,,Hill Station,,,,,,Karnataka,4.904902526292771,High,Beach Activities,Winter,26-35,Solo
Darjeeling,,Heritage,,,,,,Gujarat,3.049751764029211,High,Shopping,Summer,50+,Luxury
Delhi,,Hill Station,,,,,,Rajasthan,3.7536711220323316,Medium,Safari,Winter,26-35,Family
Mysore,,Adventure,,,,,,Tamil Nadu,4.791597715017684,High,Snowboarding,Monsoon,36-50,Solo
Mount Abu,,Beach,,,,,,Gujarat,3.549273759633966,Medium,Shopping,Summer,50+,Family
Amritsar,,Hill Station,,,,,,Gujarat,3.5461629006426367,High,Safari,Any,18-25,Solo
Darjeeling,,Adventure,,,,,,Uttar Pradesh,3.6052445701637774,Low,Temple Visit,Summer,18-25,Luxury
Darjeeling,,Religious,,,,,,Uttar Pradesh,4.224626769693844,Medium,Boating,Monsoon,50+,Family
Haridwar,,,,,,,,Maharashtra,3.8766655512287076,Medium,Snowboarding,Winter,50+,Solo
Jim Corbett,,Beach,,,,,,Madhya Pradesh,4.453469672706685,Low,Trekking,Any,36-50,Friends
Varanasi,,Adventure,,,,,,Punjab,4.789821285129332,Medium,Food Tour,Any,26-35,Family
Mysore,,Hill Station,,,,,,Punjab,4.348398749885721,Low,Cultural Tour,Winter,18-25,Luxury
Mumbai,,Religious,,,,,,Himachal Pradesh,3.408933440395151,High,Food Tour,Monsoon,26-35,Friends
Manali,,Hill Station,,,,,,Tamil Nadu,4.865363804721005,Low,Shopping,Summer,18-25,Family
Mussoorie,,Adventure,,,,,,Tamil Nadu,3.528985746694957,Low,Beach Activities,Monsoon,26-35,Family
Shimla,,Hill Station,,,,,,Madhya Pradesh,3.2997885906563162,Medium,Boating,Any,18-25,Family
Haridwar,,,,,,,,Uttar Pradesh,3.179934557721922,High,Hiking,Summer,26-35,Family
Chennai,,Heritage,,,,,,Rajasthan,4.126767481332331,Low,Palace Tour,Summer,36-50,Solo
Bangalore,,Historical,,,,,,Rajasthan,3.227524924961304,High,Palace Tour,Winter,18-25,Solo
Hyderabad,,Historical,,,,,,Goa,3.2775517682252615,Low,Cultural Tour,Monsoon,36-50,Family
Ajanta Caves,,Adventure,,,,,,Rajasthan,3.6000609611909935,Medium,Photography,Summer,18-25,Luxury
Jim Corbett,,Adventure,,,,,,Karnataka,3.5633060193689277,Low,Boating,Winter,18-25,Solo
Coorg,,Adventure,,,,,,West Bengal,4.208479020664285,Low,Photography,Monsoon,18-25,Family
Ooty,,Adventure,,,,,,Punjab,4.633490558945363,High,Snowboarding,Any,26-35,Family
Bangalore,,Hill Station,,,,,,Rajasthan,4.522699312405785,Low,Trekking,Any,18-25,Luxury
Andaman,,Beach,,,,,,Jammu & Kashmir,3.5249689094329533,Medium,Beach Activities,Monsoon,36-50,Luxury
Amritsar,,Historical,,,,,,Tamil Nadu,3.49062099597196,Medium,Palace Tour,Summer,26-35,Luxury
Ajanta Caves,,Religious,,,,,,Rajasthan,4.931583060213935,Low,Cultural Tou,Summer,26-35,Friends
Jaipur,,Historical,,,,,,Goa,3.0164724831839203,Low,Food Tour,Any,18-25,Family
Jaisalmer,,Beach,,,,,,Madhya Pradesh,4.759441066120432,High,Hiking,Any,50+,Luxury
Jim Corbett,,Adventure,,,,,,Himachal Pradesh,3.39945703824481,High,Trekking,Summer,26-35,Family
Chennai,,Wildlife,,,,,,Himachal Pradesh,4.894568646179536,Medium,Palace Tour,Monsoon,18-25,Solo
Sikkim,,Hill Station,,,,,,Uttar Pradesh,3.6846145696550394,High,Food Tour,Any,36-50,Family
Bangalore,,Wildlife,,,,,,Rajasthan,3.8807035477865046,Low,Snowboarding,Summer,50+,Family
Shimla,,Hill Station,,,,,,Gujarat,4.414241227888762,Medium,Photography,Monsoon,26-35,Friends
Mount Abu,,Adventure,,,,,,Tamil Nadu,4.175338102946521,High,Food Tour,Winter,50+,Solo
Amritsar,,Hill Station,,,,,,Tamil Nadu,3.6358786594136454,Medium,Trekking,Monsoon,26-35,Solo
Shimla,,Adventure,,,,,,Punjab,4.107661831735647,Low,Food Tour,Summer,50+,Friends
Leh,,Beach,,,,,,Himachal Pradesh,4.461413768725772,High,Snowboarding,Monsoon,50+,Luxury
Varanasi,,Luxury,,,,,,Uttar Pradesh,3.0846698918049844,Low,Hiking,Summer,36-50,Luxury
Coorg,,Heritage,,,,,,Rajasthan,3.0223986105114085,Low,Beach Activities,Any,50+,Family
Mumbai,,Hill Station,,,,,,Himachal Pradesh,3.9161338781457826,Medium,Photography,Winter,36-50,Friends
Mount Abu,,Adventure,,,,,,,3.2636732356070284,Medium,Trekking,Any,18-25,Luxury
Gwalior,,Wildlife,,,,,,Tamil Nadu,4.328688582929429,Medium,Beach Activities,Any,26-35,Solo
Sikkim,,Adventure,,,,,,Rajasthan,3.4281049124548684,High,Photography,Summer,36-50,Friends
Mysore,,Wildlife,,,,,,Gujarat,3.8657022135913417,High,Cultural Tour,Summer,26-35,Luxury
Sikkim,,Historical,,,,,,Uttarakhand,3.3953418737485377,Medium,Boating,Summer,36-50,Solo
Jaisalmer,,Hill Station,,,,,,Gujarat,4.096967171498249,High,Photography,Summer,26-35,Friends
Mumbai,,Religious,,,,,,Rajasthan,3.232106918769138,High,Food Tour,Any,36-50,Family
Coorg,,Wildlife,,,,,,West Bengal,3.0462137055749605,Medium,Temple Visit,Summer,26-35,Family
Sikkim,,Adventure,,,,,,Himachal Pradesh,3.102263276213394,Low,Beach Activities,Summer,18-25,Solo
Kolkata,,Hill Station,,,,,,Punjab,4.90851688303062,High,Hiking,Any,26-35,Luxury
Coorg,,Adventure,,,,,,Madhya Pradesh,3.284572437221872,High,Snowboarding,Winter,18-25,Luxury
Haridwar,,Religious,,,,,,Madhya Pradesh,4.416956506273671,Low,Palace Tour,Winter,18-25,Friends
Mount Abu,,Heritage,,,,,,Karnataka,3.1358524084456523,Low,Beach Activities,Monsoon,18-25,Solo
Mumbai,,Luxury,,,,,,Karnataka,3.2163207044703643,Low,Palace Tour,Any,50+,Luxury
Gwalior,,Luxury,,,,,,Uttarakhand,4.017752502818669,Medium,Shopping,Summer,26-35,Family
Mysore,,Religious,,,,,,Goa,3.9297418603086873,Low,Food Tour,Monsoon,50+,Solo
Agra,,Beach,,,,,,Uttar Pradesh,4.903160618879739,Medium,Cultural Tour,Winter,50+,Family
Kolkata,,Hill Station,,,,,,Gujarat,4.8896709060414745,Low,Rafting,Winter,26-35,Solo
Mysore,,Religious,,,,,,Rajasthan,4.55921728508493,Low,Trekking,Any,,Friends
Jaisalmer,,Heritage,,,,,,Punjab,4.2042036602546995,Medium,Palace Tour,Summer,50+,Luxury
Shimla,,Adventure,,,,,,Goa,3.909920634786022,Medium,Shopping,Summer,50+,Luxury
Delhi,,Hill Station,,,,,,Goa,3.712357068656842,Low,Shopping,Monsoon,36-50,Luxury
Gwalior,,Historical,,,,,,Himachal Pradesh,4.894175093951111,Low,Palace Tour,Winter,26-35,Family
Ajanta Caves,,Wildlife,,,,,,West Bengal,4.205817622849371,Low,Shopping,Monsoon,50+,Luxury
Andaman,,Religious,,,,,,Himachal Pradesh,4.158145055371989,High,Hiking,Monsoon,26-35,Solo
Haridwar,,Historical,,,,,,Uttar Pradesh,3.4638022435378297,Low,Trekking,Monsoon,26-35,Family
Shimla,,Historical,,,,,,Uttarakhand,3.093395635770226,Medium,Rafting,Summer,50+,Friends
Sikkim,,Heritage,,,,,,Gujarat,4.890377159519089,High,Food Tour,Winter,26-35,Family
Jaisalmer,,Historical,,,,,,Tamil Nadu,3.627470517689308,Medium,Snowboarding,Monsoon,18-25,Friends
Agra,,Religious,,,,,,Jammu & Kashmir,3.8851780466489174,High,Photography,Winter,50+,Family
Haridwar,,Beach,,,,,,Uttarakhand,3.2292798871714137,High,Boating,Winter,50+,Luxury
Hyderabad,,Luxury,,,,,,Gujarat,4.673848659818584,Medium,Hiking,Monsoon,50+,Friends
Leh,,Luxury,,,,,,Uttar Pradesh,3.0552636657118613,High,Hiking,Monsoon,36-50,Luxury
Manali,,Hill Station,,,,,,Karnataka,4.6679815241981935,Medium,Photography,Any,36-50,Family
Kolkata,,Adventure,,,,,,Gujarat,3.2805700255759334,Low,Palace Tour,Summer,36-50,Friends
Mumbai,,Heritage,,,,,,Tamil Nadu,4.773128225262305,High,Rafting,Winter,36-50,Solo
Kedarnath,,Religious,,,,,,Goa,4.4595452746723145,Medium,Rafting,Monsoon,50+,Solo
Kolkata,,Hill Station,,,,,,,3.32934052501461,High,Cultural Tour,Monsoon,18-25,Family
Hyderabad,,Religious,,,,,,Tamil Nadu,4.131635985718936,Medium,Palace Tour,Winter,26-35,Friends
Ajanta Caves,,Hill Station,,,,,,Rajasthan,3.625312628710439,Low,Shopping,Monsoon,26-35,Solo
Haridwar,,Luxury,,,,,,Himachal Pradesh,3.356466197823167,Low,Shopping,Any,,Luxury
Andaman,,Historical,,,,,,Gujarat,4.718364398822217,High,Beach Activities,Winter,18-25,Luxury
Rann of Kutch,,Beach,,,,,,Jammu & Kashmir,3.807045533014459,High,Food Tour,Monsoon,26-35,Family
Kerala,,Religious,,,,,,Punjab,3.797087428730765,Medium,Snowboarding,Winter,18-25,Luxury
Mussoorie,,Beach,,,,,,Gujarat,3.33977334961324,Medium,Rafting,Monsoon,50+,Luxury
Rann of Kutch,,Wildlife,,,,,,Rajasthan,3.7661313521715574,High,Cultural Tour,Monsoon,36-50,Luxury
Mussoorie,,Wildlife,,,,,,Uttarakhand,4.7432336926577,Medium,Cultural Tour,Summer,18-25,Solo
Darjeeling,,Historical,,,,,,Gujarat,3.726257420979272,Medium,Trekking,Winter,26-35,Friends
Pune,,Luxury,,,,,,Maharashtra,4.903207124999576,Medium,Palace Tour,Summer,26-35,Family
Mount Abu,,Heritage,,,,,,Tamil Nadu,4.892617798416775,High,Rafting,Monsoon,26-35,Friends
Varanasi,,Beach,,,,,,Goa,3.289797318614692,Low,Snowboarding,Winter,36-50,Friends
Prayagraj,,Hill Station,,,,,,Goa,3.3546225070452897,Low,Hiking,Winter,18-25,Friends
Pune,,Heritage,,,,,,Maharashtra,4.725348140663778,Medium,Beach Activities,Any,18-25,Solo
Jaisalmer,,Religious,,,,,,Uttarakhand,3.7855218378494384,High,Temple Visit,Any,26-35,Luxury
Ajanta Caves,,Religious,,,,,,Goa,3.0087479645660187,Medium,Temple Visit,Monsoon,18-25,Family
Jaipur,,Hill Station,,,,,,Gujarat,3.547743639410742,Low,Beach Activities,Monsoon,26-35,Friends
Kedarnath,,Adventure,,,,,,West Bengal,4.19525798639112,Medium,Shopping,Monsoon,18-25,Luxury
Pune,,Historical,,,,,,Madhya Pradesh,4.598531931919936,Low,Rafting,Monsoon,36-50,Solo
Andaman,,Adventure,,,,,,Karnataka,3.2667772341865193,High,Hiking,Any,36-50,Friends
Rishikesh,,Historical,,,,,,Goa,3.221082728833471,Medium,Palace Tour,Winter,50+,Luxury
Varanasi,,Religious,,,,,,Karnataka,4.844185307144663,High,Snowboarding,Summer,50+,Solo
Mussoorie,,Historical,,,,,,Jammu & Kashmir,4.5022967356451655,Medium,Photography,Winter,50+,Luxury
Mysore,,Luxury,,,,,,West Bengal,4.179559201556157,Medium,Trekking,Winter,18-25,Family
Jaipur,,Luxury,,,,,,Uttar Pradesh,4.538373579991856,Medium,Palace Tour,Any,36-50,Luxury
Kolkata,,Hill Station,,,,,,Gujarat,3.857708722613277,Medium,Boating,Winter,36-50,Luxury
Ajanta Caves,,Adventure,,,,,,Gujarat,4.516911494618253,Medium,Palace Tour,Winter,36-50,Family
Darjeeling,,Beach,,,,,,Uttar Pradesh,3.7436059825490715,High,Palace Tour,Monsoon,26-35,Family
Agra,,Religious,,,,,,Tamil Nadu,3.4881891449852045,High,Food Tour,Summer,18-25,Luxury
Kolkata,,Wildlife,,,,,,West Bengal,4.458026842585937,Low,Rafti,Winter,18-25,Family
Jim Corbett,,Beach,,,,,,Rajasthan,3.839344584314537,Medium,Trekking,Winter,50+,Luxury
Udaipur,,Hill Station,,,,,,Tamil Nadu,4.96275420865239,Low,Food Tour,Summer,26-35,Friends
Mount Abu,,Wildlife,,,,,,Rajasthan,3.698970364616202,High,Rafting,Monsoon,26-35,Luxury
Amritsar,,Beach,,,,,,Jammu & Kashmir,4.843454841062131,Low,Safari,Any,36-50,Solo
Kolkata,,Adventure,,,,,,Himachal Pradesh,4.865925097134159,High,Trekking,Any,50+,Family
Mount Abu,,Historical,,,,,,Uttarakhand,3.4837058941294923,Medium,Rafting,Winter,18-25,Friends
Hyderabad,,Luxury,,,,,,Gujarat,4.596442363176027,Low,Temple Visit,Monsoon,26-35,Family
Gwalior,,Adventure,,,,,,Madhya Pradesh,3.8661490102891305,Low,Food Tour,Any,36-50,Family
Chennai,,Wildlife,,,,,,Gujarat,4.835049454460696,Low,Safari,Any,18-25,Family
Jaisalmer,,Historical,,,,,,West Bengal,3.9002485452704776,Low,Shopping,Any,,Solo
Kedarnath,,Historical,,,,,,Maharashtra,4.488607434674732,Medium,Trekking,Any,18-25,Solo
Goa,,Historical,,,,,,Punjab,3.9339348183275957,High,Boating,Any,36-50,Luxury
Udaipur,,Heritage,,,,,,Uttarakhand,3.455601511425712,High,Snowboarding,Winter,18-25,Solo
Kerala,,Luxury,,,,,,Jammu & Kashmir,3.398700257889373,Medium,Boating,Any,50+,Family
Amritsar,,Religious,,,,,,West Bengal,3.850862388512691,High,Temple Visi,Winter,18-25,Friends
Kedarnath,,Wildlife,,,,,,Uttar Pradesh,4.51098931402843,Low,Temple Visit,Summer,18-25,Friends
Mysore,,Hill Station,,,,,,Gujarat,4.210142970361534,Medium,Hiking,Summer,18-25,Friends
Leh,,Religious,,,,,,Uttarakhand,4.377258579801087,High,Hiking,Monsoon,36-50,Family
Goa,,Beach,,,,,,Gujarat,3.564652701463885,Medium,Beach Activities,Winter,26-35,Solo
Ajanta Caves,,Luxury,,,,,,Gujarat,3.962870691915211,Medium,Shopping,Monsoon,18-25,Friends
Bangalore,,Hill Station,,,,,,Gujarat,3.088790529938654,High,Beach Activities,Summer,18-25,Family
Haridwar,,Hill Station,,,,,,Rajasthan,4.6350648319162415,High,Boating,Summer,50+,Family
Hyderabad,,Adventure,,,,,,Maharashtra,4.979784324479749,Medium,Food Tour,Summer,18-25,Friends
Rann of Kutch,,Beach,,,,,,Uttarakhand,3.8137581252493415,Medium,Palace Tour,Summer,50+,Friends
Shimla,,Adventure,,,,,,Punjab,3.0219273062630867,High,Raftin,Any,18-25,Luxury
Mussoorie,,Adventure,,,,,,Jammu & Kashmir,3.339585279101895,Medium,Photography,Summer,36-50,Luxury
Andaman,,Historical,,,,,,Jammu & Kashmir,4.305053755500838,High,Snowboarding,Any,26-35,Family
Ooty,,Luxury,,,,,,Tamil Nadu,4.224158636407719,Medium,Safari,Any,26-35,Luxury
Coorg,,Heritage,,,,,,Gujarat,4.575729439171088,Medium,Snowboarding,Monsoon,26-35,Luxury
Rann of Kutch,,Adventure,,,,,,Karnataka,3.5077680219221365,Medium,Temple Visit,Any,36-50,Friends
Darjeeling,,Religious,,,,,,Madhya Pradesh,4.5272638310942686,High,Beach Activities,Monsoon,50+,Luxury
Shimla,,Hill Station,,,,,,Karnataka,4.375968043047339,Low,Palace Tour,Any,26-35,Family
Mount Abu,,Luxury,,,,,,Jammu & Kashmir,3.6456289954276864,High,Shopping,Any,36-50,Friends
Haridwar,,Adventure,,,,,,Tamil Nadu,4.090976296113924,Medium,Cultural Tour,Summer,36-50,Luxury
Varanasi,,Wildlife,,,,,,Jammu & Kashmir,3.2945476169966534,Low,,Winter,18-25,Luxury
Agra,,Religiou,,,,,,Punjab,3.9051290068711655,Low,Cultural Tour,Any,50+,Luxury
Pune,,Beach,,,,,,Jammu & Kashmir,4.7623946791112814,Medium,Cultural Tour,Winter,36-50,Solo
Mysore,,Hill Station,,,,,,Maharashtra,3.8423827596507816,High,Food Tour,Winter,50+,Luxury
Prayagraj,,Luxury,,,,,,Himachal Pradesh,4.6791334129508435,Low,Food Tour,Winter,26-35,Luxury
Hyderabad,,Wildlife,,,,,,Gujarat,4.180506730519388,Low,Beach Activities,Any,26-35,Family
Agra,,Luxury,,,,,,Uttar Pradesh,3.3837534262047138,High,Hiking,Winter,26-35,Luxury
